date,cpi_yoy,repo_rate
2021-01-01,4.06,4.00
2021-02-01,5.03,4.00
2021-03-01,5.52,4.00
2021-04-01,4.23,4.00
2021-05-01,6.30,4.00
2021-06-01,6.26,4.00
2021-07-01,5.59,4.00
2021-08-01,5.30,4.00
2021-09-01,4.35,4.00
2021-10-01,4.48,4.00
2021-11-01,4.91,4.00
2021-12-01,5.59,4.00
2022-01-01,6.01,4.00
2022-02-01,6.07,4.00
2022-03-01,6.95,4.00
2022-04-01,7.79,4.00
2022-05-01,7.04,4.40
2022-06-01,7.01,4.90
2022-07-01,6.71,5.40
2022-08-01,7.00,5.40
2022-09-01,7.41,5.90
2022-10-01,6.77,5.90
2022-11-01,5.88,6.25
2022-12-01,5.72,6.25
2023-01-01,6.52,6.25
2023-02-01,6.44,6.50
2023-03-01,5.66,6.50
2023-04-01,4.70,6.50
2023-05-01,4.25,6.50
2023-06-01,4.81,6.50
2023-07-01,7.44,6.50
2023-08-01,6.83,6.50
2023-09-01,5.02,6.50
2023-10-01,4.87,6.50
2023-11-01,5.55,6.50
2023-12-01,5.69,6.50
2024-01-01,5.10,6.50
2024-02-01,5.09,6.50
2024-03-01,4.85,6.50
2024-04-01,4.83,6.50
2024-05-01,4.75,6.50
2024-06-01,5.08,6.50
2024-07-01,3.54,6.50
2024-08-01,3.65,6.50
2024-09-01,5.49,6.50
2024-10-01,6.21,6.50
2024-11-01,5.48,6.50
2024-12-01,5.22,6.25
2025-01-01,4.26,6.25
2025-02-01,3.61,6.25
